Beneficiary_ID,Gender,Age,District,State,Program_Name,Program_Date,Workshop_Hours,Program_Cost,Completion_Status,Pre_Assessment_Score,Post_Assessment_Score,Improvement_Percentage,Employment_Status,Outcome_Status
B1031,Male,26,Haridwar,Uttarakhand,Skill Development,2025-02-23,4,4661,Completed,58,96,65.52,Employed,Improved
B1032,Female,25,Haridwar,Uttarakhand,Digital Literacy,2025-03-18,8,1190,Completed,46,76,65.22,Employed,Improved
B1033,Male,41,Nainital,Uttarakhand,Digital Literacy,2024-10-08,6,1453,Completed,53,74,39.62,Unemployed,Improved
B1034,Male,38,Dehradun,Uttarakhand,Skill Development,2024-09-28,6,1379,Completed,21,61,190.48,Employed,Improved
B1035,Male,25,Nainital,Uttarakhand,Digital Literacy,2024-08-19,4,3059,Incomplete,64,90,40.62,Employed,Improved
B1036,Male,25,Haridwar,Uttarakhand,Skill Development,2025-06-30,6,3899,Incomplete,46,76,65.22,Unemployed,Improved
B1037,Male,18,Dehradun,Uttarakhand,Skill Development,2024-02-02,4,2851,Completed,69,81,17.39,Unemployed,Not Improved
B1038,Male,19,Haridwar,Uttarakhand,Digital Literacy,2024-09-07,4,3657,Completed,67,90,34.33,Employed,Improved
B1039,Female,35,Roorkee,Uttarakhand,Digital Literacy,2024-06-26,6,2943,Completed,27,61,125.93,Unemployed,Improved
B1040,Female,36,Udham Singh Nagar,Uttarakhand,Employment Readiness,2024-06-20,4,2134,Completed,27,41,51.85,Unemployed,Improved
B1041,Female,34,Nainital,Uttarakhand,Employment Readiness,2024-06-13,6,3536,Completed,58,76,31.03,Unemployed,Improved
B1042,Male,44,Nainital,Uttarakhand,Digital Literacy,2024-09-05,4,3195,Completed,45,67,48.89,Unemployed,Improved
B1043,Female,20,Dehradun,Uttarakhand,Digital Literacy,2024-05-28,6,1321,Incomplete,23,62,169.57,Employed,Improved
B1044,Female,19,Nainital,Uttarakhand,Skill Development,2024-10-03,4,2497,Completed,28,42,50.0,Employed,Improved
B1045,Female,29,Haridwar,Uttarakhand,Digital Literacy,2025-07-02,4,3645,Completed,36,56,55.56,Employed,Improved
B1046,Male,36,Dehradun,Uttarakhand,Skill Development,2025-08-07,6,4264,Completed,41,59,43.9,Unemployed,Improved
B1047,Male,19,Udham Singh Nagar,Uttarakhand,Digital Literacy,2024-09-09,6,4354,Completed,47,52,10.64,Unemployed,Not Improved
B1048,Male,26,Nainital,Uttarakhand,Employment Readiness,2024-01-13,8,4550,Completed,64,70,9.38,Unemployed,Not Improved
B1049,Female,37,Nainital,Uttarakhand,Employment Readiness,2025-04-19,8,4105,Completed,31,71,129.03,Employed,Improved
B1050,Male,45,Haridwar,Uttarakhand,Employment Readiness,2024-10-25,8,1938,Completed,45,69,53.33,Employed,Improved
B1051,Female,32,Nainital,Uttarakhand,Employment Readiness,2025-09-07,6,4679,Incomplete,51,70,37.25,Unemployed,Improved
B1052,Male,22,Dehradun,Uttarakhand,Employment Readiness,2024-10-03,6,2154,Completed,48,62,29.17,Unemployed,Improved
B1053,Male,43,Nainital,Uttarakhand,Employment Readiness,2025-09-24,8,1234,Completed,48,58,20.83,Unemployed,Improved
B1054,Male,43,Udham Singh Nagar,Uttarakhand,Employment Readiness,2025-12-10,6,1140,Completed,66,77,16.67,Employed,Not Improved
B1055,Male,37,Dehradun,Uttarakhand,Digital Literacy,2025-12-26,4,2671,Completed,58,69,18.97,Employed,Not Improved
B1056,Male,28,Dehradun,Uttarakhand,Skill Development,2024-06-03,4,2949,Completed,41,81,97.56,Unemployed,Improved
B1057,Female,20,Dehradun,Uttarakhand,Skill Development,2025-05-23,6,1190,Completed,65,99,52.31,Unemployed,Improved
B1058,Female,44,Nainital,Uttarakhand,Employment Readiness,2024-06-08,4,4224,Completed,29,44,51.72,Unemployed,Improved
B1059,Female,21,Haridwar,Uttarakhand,Skill Development,2024-01-03,6,1403,Completed,68,80,17.65,Unemployed,Not Improved
B1060,Male,22,Nainital,Uttarakhand,Employment Readiness,2025-08-15,4,3109,Completed,46,58,26.09,Employed,Improved
B1061,Male,44,Nainital,Uttarakhand,Digital Literacy,2025-01-11,8,4634,Completed,56,72,28.57,Unemployed,Improved
B1062,Male,44,Roorkee,Uttarakhand,Employment Readiness,2025-02-18,6,2924,Completed,35,40,14.29,Unemployed,Not Improved
B1063,Female,18,Nainital,Uttarakhand,Digital Literacy,2025-12-13,8,2531,Completed,27,36,33.33,Unemployed,Improved
B1064,Female,20,Haridwar,Uttarakhand,Employment Readiness,2025-01-25,8,2087,Completed,61,96,57.38,Employed,Improved
B1065,Female,22,Haridwar,Uttarakhand,Skill Development,2025-03-31,4,4671,Completed,44,80,81.82,Unemployed,Improved
B1066,Female,27,Dehradun,Uttarakhand,Digital Literacy,2025-07-11,6,1224,Completed,36,47,30.56,Unemployed,Improved
B1067,Male,38,Dehradun,Uttarakhand,Digital Literacy,2024-08-03,4,2468,Completed,24,50,108.33,Unemployed,Improved
B1068,Female,40,Haridwar,Uttarakhand,Employment Readiness,2025-04-07,8,3175,Completed,29,40,37.93,Unemployed,Improved
B1069,Male,19,Roorkee,Uttarakhand,Skill Development,2025-01-09,4,4635,Incomplete,41,64,56.1,Unemployed,Improved
B1070,Female,38,Haridwar,Uttarakhand,Skill Development,2025-01-07,4,1863,Completed,28,46,64.29,Employed,Improved
B1071,Male,33,Udham Singh Nagar,Uttarakhand,Skill Development,2025-11-24,4,4190,Completed,44,77,75.0,Employed,Improved
B1072,Female,37,Dehradun,Uttarakhand,Employment Readiness,2025-03-15,6,4650,Completed,22,54,145.45,Employed,Improved
B1073,Male,35,Haridwar,Uttarakhand,Skill Development,2025-08-31,8,2504,Completed,23,34,47.83,Employed,Improved
B1074,Male,41,Haridwar,Uttarakhand,Digital Literacy,2024-03-17,6,3911,Completed,21,43,104.76,Unemployed,Improved
B1075,Female,33,Dehradun,Uttarakhand,Digital Literacy,2024-08-14,4,2533,Completed,31,62,100.0,Employed,Improved
B1076,Male,20,Dehradun,Uttarakhand,Employment Readiness,2024-08-09,6,2213,Completed,43,81,88.37,Employed,Improved
B1077,Female,37,Roorkee,Uttarakhand,Skill Development,2024-06-14,6,3997,Completed,25,30,20.0,Unemployed,Improved
B1078,Female,32,Roorkee,Uttarakhand,Skill Development,2024-02-17,6,4604,Completed,63,71,12.7,Unemployed,Not Improved
B1079,Male,21,Dehradun,Uttarakhand,Digital Literacy,2025-05-15,4,2634,Completed,48,56,16.67,Unemployed,Not Improved
B1080,Male,39,Roorkee,Uttarakhand,Digital Literacy,2025-08-24,4,3137,Completed,57,85,49.12,Unemployed,Improved
B1081,Male,32,Roorkee,Uttarakhand,Skill Development,2024-06-24,4,4776,Completed,28,48,71.43,Unemployed,Improved
B1082,Male,44,Dehradun,Uttarakhand,Employment Readiness,2024-03-23,6,2121,Completed,61,100,63.93,Employed,Improved
B1083,Male,35,Roorkee,Uttarakhand,Employment Readiness,2024-08-28,8,3794,Completed,65,83,27.69,Employed,Improved
B1084,Female,36,Udham Singh Nagar,Uttarakhand,Digital Literacy,2024-01-03,6,1503,Completed,59,67,13.56,Unemployed,Not Improved
B1085,Female,37,Udham Singh Nagar,Uttarakhand,Digital Literacy,2024-09-23,4,4670,Completed,61,100,63.93,Employed,Improved
B1086,Male,41,Udham Singh Nagar,Uttarakhand,Digital Literacy,2025-01-26,6,3667,Completed,46,69,50.0,Employed,Improved
B1087,Female,28,Dehradun,Uttarakhand,Skill Development,2025-10-24,4,1607,Incomplete,28,66,135.71,Employed,Improved
B1088,Male,25,Dehradun,Uttarakhand,Skill Development,2024-08-23,8,2461,Completed,41,57,39.02,Employed,Improved
B1089,Female,38,Dehradun,Uttarakhand,Skill Development,2025-12-19,6,2305,Completed,64,69,7.81,Unemployed,Not Improved
B1090,Male,27,Haridwar,Uttarakhand,Digital Literacy,2025-05-07,6,4340,Completed,26,61,134.62,Unemployed,Improved
B1091,Female,29,Haridwar,Uttarakhand,Skill Development,2025-10-16,8,4358,Completed,61,67,9.84,Unemployed,Not Improved
B1092,Male,20,Nainital,Uttarakhand,Skill Development,2025-06-01,4,2508,Completed,20,37,85.0,Unemployed,Improved
B1093,Female,32,Udham Singh Nagar,Uttarakhand,Employment Readiness,2024-02-10,4,3466,Incomplete,28,44,57.14,Employed,Improved
B1094,Male,38,Udham Singh Nagar,Uttarakhand,Skill Development,2024-06-08,6,2954,Completed,39,57,46.15,Unemployed,Improved
B1095,Female,45,Roorkee,Uttarakhand,Digital Literacy,2025-11-19,6,4593,Completed,38,63,65.79,Employed,Improved
B1096,Male,22,Roorkee,Uttarakhand,Skill Development,2025-02-28,6,1924,Incomplete,58,63,8.62,Unemployed,Not Improved
B1097,Female,33,Haridwar,Uttarakhand,Digital Literacy,2024-07-30,6,3308,Incomplete,43,72,67.44,Unemployed,Improved
B1098,Female,20,Roorkee,Uttarakhand,Employment Readiness,2025-04-23,4,3358,Completed,36,70,94.44,Unemployed,Improved
B1099,Female,31,Roorkee,Uttarakhand,Employment Readiness,2025-07-11,6,4952,Incomplete,25,36,44.0,Employed,Improved
B1100,Male,24,Roorkee,Uttarakhand,Employment Readiness,2025-09-02,6,3905,Completed,30,38,26.67,Employed,Improved
B1101,Male,40,Nainital,Uttarakhand,Skill Development,2024-08-27,4,3028,Completed,65,92,41.54,Unemployed,Improved
B1102,Female,40,Haridwar,Uttarakhand,Digital Literacy,2025-06-14,4,4559,Completed,50,75,50.0,Unemployed,Improved
B1103,Female,23,Haridwar,Uttarakhand,Skill Development,2024-01-07,6,4858,Completed,20,37,85.0,Unemployed,Improved
B1104,Female,34,Udham Singh Nagar,Uttarakhand,Employment Readiness,2025-10-13,8,1166,Completed,25,52,108.0,Unemployed,Improved
B1105,Female,23,Roorkee,Uttarakhand,Employment Readiness,2024-09-14,8,4703,Completed,37,68,83.78,Unemployed,Improved
B1106,Female,30,Roorkee,Uttarakhand,Employment Readiness,2025-07-21,8,1828,Incomplete,51,85,66.67,Employed,Improved
B1107,Male,30,Udham Singh Nagar,Uttarakhand,Employment Readiness,2025-10-11,4,3757,Completed,45,61,35.56,Employed,Improved
B1108,Male,21,Nainital,Uttarakhand,Digital Literacy,2024-01-21,4,4244,Completed,25,63,152.0,Unemployed,Improved
B1109,Female,45,Dehradun,Uttarakhand,Employment Readiness,2025-09-02,8,2810,Incomplete,33,58,75.76,Employed,Improved
B1110,Female,20,Nainital,Uttarakhand,Employment Readiness,2024-03-28,8,4260,Completed,61,68,11.48,Unemployed,Not Improved
B1111,Male,21,Roorkee,Uttarakhand,Digital Literacy,2024-12-25,8,3314,Completed,28,46,64.29,Unemployed,Improved
B1112,Female,35,Dehradun,Uttarakhand,Digital Literacy,2024-04-23,4,2674,Completed,29,38,31.03,Unemployed,Improved
B1113,Female,20,Dehradun,Uttarakhand,Skill Development,2025-08-20,8,1163,Completed,34,58,70.59,Employed,Improved
B1114,Female,32,Roorkee,Uttarakhand,Digital Literacy,2025-06-28,6,4118,Incomplete,70,100,42.86,Employed,Improved
B1115,Male,44,Udham Singh Nagar,Uttarakhand,Skill Development,2024-07-17,4,4379,Incomplete,28,45,60.71,Employed,Improved
B1116,Female,25,Udham Singh Nagar,Uttarakhand,Skill Development,2024-07-04,8,1094,Incomplete,66,81,22.73,Unemployed,Improved
B1117,Male,19,Dehradun,Uttarakhand,Employment Readiness,2025-07-24,6,2691,Completed,57,83,45.61,Unemployed,Improved
B1118,Male,30,Udham Singh Nagar,Uttarakhand,Employment Readiness,2024-09-06,8,1605,Completed,30,70,133.33,Unemployed,Improved
B1119,Male,36,Roorkee,Uttarakhand,Employment Readiness,2025-02-09,6,4751,Completed,37,76,105.41,Employed,Improved
B1120,Male,41,Haridwar,Uttarakhand,Digital Literacy,2025-05-04,8,4800,Completed,62,79,27.42,Employed,Improved
B1121,Male,30,Haridwar,Uttarakhand,Employment Readiness,2024-04-26,6,1599,Completed,70,93,32.86,Employed,Improved
B1122,Male,38,Haridwar,Uttarakhand,Employment Readiness,2025-05-19,6,1259,Completed,24,55,129.17,Unemployed,Improved
B1123,Male,25,Nainital,Uttarakhand,Employment Readiness,2024-10-11,4,1468,Completed,21,56,166.67,Unemployed,Improved
B1124,Male,20,Haridwar,Uttarakhand,Skill Development,2024-09-11,6,1183,Completed,33,46,39.39,Employed,Improved
B1125,Male,37,Roorkee,Uttarakhand,Digital Literacy,2025-05-27,8,4324,Completed,31,50,61.29,Employed,Improved
B1126,Female,22,Nainital,Uttarakhand,Employment Readiness,2024-09-27,8,2206,Completed,58,87,50.0,Unemployed,Improved
B1127,Female,29,Udham Singh Nagar,Uttarakhand,Skill Development,2025-05-19,4,3252,Completed,36,66,83.33,Employed,Improved
B1128,Female,41,Haridwar,Uttarakhand,Digital Literacy,2024-06-13,8,1921,Completed,50,59,18.0,Unemployed,Not Improved
B1129,Male,44,Haridwar,Uttarakhand,Digital Literacy,2024-11-08,6,3983,Incomplete,42,55,30.95,Unemployed,Improved
B1130,Female,22,Udham Singh Nagar,Uttarakhand,Digital Literacy,2025-05-10,6,2715,Completed,22,40,81.82,Unemployed,Improved
B1131,Male,31,Dehradun,Uttarakhand,Skill Development,2025-12-14,4,4525,Completed,42,77,83.33,Unemployed,Improved
B1132,Female,29,Dehradun,Uttarakhand,Digital Literacy,2025-10-28,6,1320,Completed,38,59,55.26,Employed,Improved
B1133,Male,44,Haridwar,Uttarakhand,Skill Development,2024-07-05,4,1188,Completed,49,85,73.47,Unemployed,Improved
B1134,Male,28,Udham Singh Nagar,Uttarakhand,Employment Readiness,2025-07-14,8,1448,Completed,60,85,41.67,Unemployed,Improved
B1135,Female,39,Udham Singh Nagar,Uttarakhand,Digital Literacy,2025-04-03,6,3666,Completed,32,71,121.88,Unemployed,Improved
B1136,Female,20,Nainital,Uttarakhand,Skill Development,2024-07-04,6,3547,Incomplete,48,67,39.58,Employed,Improved
B1137,Female,21,Haridwar,Uttarakhand,Digital Literacy,2025-04-10,6,1825,Completed,29,62,113.79,Unemployed,Improved
B1138,Female,33,Nainital,Uttarakhand,Skill Development,2025-06-14,8,2913,Completed,44,55,25.0,Employed,Improved
B1139,Female,39,Nainital,Uttarakhand,Employment Readiness,2024-11-19,4,3681,Completed,55,65,18.18,Unemployed,Not Improved
B1140,Male,29,Nainital,Uttarakhand,Skill Development,2025-01-30,8,4910,Completed,33,67,103.03,Unemployed,Improved
B1141,Female,45,Roorkee,Uttarakhand,Digital Literacy,2024-05-24,4,4148,Completed,34,62,82.35,Employed,Improved
B1142,Male,31,Dehradun,Uttarakhand,Digital Literacy,2025-02-22,6,1031,Completed,62,68,9.68,Unemployed,Not Improved
B1143,Female,39,Udham Singh Nagar,Uttarakhand,Digital Literacy,2024-01-29,8,3479,Completed,70,84,20.0,Unemployed,Improved
B1144,Male,26,Roorkee,Uttarakhand,Employment Readiness,2024-03-10,8,4666,Incomplete,29,54,86.21,Unemployed,Improved
B1145,Female,42,Nainital,Uttarakhand,Employment Readiness,2024-04-07,8,3041,Completed,39,78,100.0,Employed,Improved
B1146,Female,23,Dehradun,Uttarakhand,Digital Literacy,2025-06-20,6,2205,Completed,24,29,20.83,Employed,Improved
B1147,Female,43,Nainital,Uttarakhand,Skill Development,2025-10-19,8,2828,Completed,57,65,14.04,Unemployed,Not Improved
B1148,Male,21,Dehradun,Uttarakhand,Digital Literacy,2025-11-30,4,3632,Completed,33,71,115.15,Unemployed,Improved
B1149,Male,18,Haridwar,Uttarakhand,Employment Readiness,2025-12-01,4,2092,Completed,55,61,10.91,Employed,Not Improved
B1150,Female,43,Dehradun,Uttarakhand,Employment Readiness,2024-09-05,6,4054,Incomplete,58,76,31.03,Unemployed,Improved
B1151,Male,28,Udham Singh Nagar,Uttarakhand,Digital Literacy,2024-01-11,4,3052,Completed,45,55,22.22,Employed,Improved
B1152,Male,20,Nainital,Uttarakhand,Digital Literacy,2024-06-15,8,1862,Completed,62,93,50.0,Employed,Improved
B1153,Female,27,Roorkee,Uttarakhand,Skill Development,2024-04-13,6,4396,Completed,58,67,15.52,Unemployed,Not Improved
B1154,Male,44,Dehradun,Uttarakhand,Employment Readiness,2025-10-08,6,4335,Incomplete,35,65,85.71,Unemployed,Improved
B1155,Male,29,Dehradun,Uttarakhand,Digital Literacy,2025-11-09,4,1428,Incomplete,39,79,102.56,Unemployed,Improved
B1156,Male,35,Dehradun,Uttarakhand,Employment Readiness,2025-01-24,6,3423,Completed,46,58,26.09,Unemployed,Improved
B1157,Female,27,Roorkee,Uttarakhand,Digital Literacy,2025-01-24,8,4542,Completed,45,73,62.22,Employed,Improved
B1158,Male,39,Dehradun,Uttarakhand,Employment Readiness,2025-03-25,6,2739,Incomplete,21,58,176.19,Unemployed,Improved
B1159,Female,19,Haridwar,Uttarakhand,Digital Literacy,2025-08-20,4,2488,Completed,34,65,91.18,Employed,Improved
B1160,Male,44,Nainital,Uttarakhand,Skill Development,2024-02-21,6,1452,Completed,23,50,117.39,Unemployed,Improved
B1161,Female,42,Udham Singh Nagar,Uttarakhand,Skill Development,2024-06-15,4,3432,Completed,62,95,53.23,Unemployed,Improved
B1162,Male,36,Nainital,Uttarakhand,Digital Literacy,2024-11-06,4,1782,Completed,59,97,64.41,Unemployed,Improved
B1163,Female,44,Udham Singh Nagar,Uttarakhand,Skill Development,2025-12-27,4,4286,Completed,21,40,90.48,Unemployed,Improved
B1164,Male,29,Dehradun,Uttarakhand,Employment Readiness,2025-11-13,8,2098,Completed,43,58,34.88,Unemployed,Improved
B1165,Female,19,Udham Singh Nagar,Uttarakhand,Digital Literacy,2025-04-11,6,2235,Completed,47,57,21.28,Employed,Improved
B1166,Male,38,Udham Singh Nagar,Uttarakhand,Skill Development,2024-12-28,4,3711,Completed,33,50,51.52,Unemployed,Improved
B1167,Male,33,Haridwar,Uttarakhand,Employment Readiness,2025-12-16,6,1235,Incomplete,56,69,23.21,Unemployed,Improved
B1168,Female,44,Udham Singh Nagar,Uttarakhand,Employment Readiness,2024-10-06,4,3100,Completed,43,61,41.86,Unemployed,Improved
B1169,Female,19,Dehradun,Uttarakhand,Digital Literacy,2024-02-10,4,4395,Completed,41,52,26.83,Employed,Improved
B1170,Female,28,Dehradun,Uttarakhand,Skill Development,2024-04-12,6,3697,Completed,64,100,56.25,Employed,Improved
B1171,Female,43,Nainital,Uttarakhand,Skill Development,2024-10-28,4,4243,Completed,42,62,47.62,Employed,Improved
B1172,Male,37,Udham Singh Nagar,Uttarakhand,Skill Development,2025-04-05,4,2951,Completed,33,39,18.18,Employed,Not Improved
B1173,Female,43,Udham Singh Nagar,Uttarakhand,Employment Readiness,2025-03-23,8,4520,Completed,26,65,150.0,Employed,Improved
B1174,Male,36,Nainital,Uttarakhand,Digital Literacy,2024-07-24,6,1381,Completed,32,61,90.62,Unemployed,Improved
B1175,Male,31,Dehradun,Uttarakhand,Digital Literacy,2025-03-24,8,2747,Completed,60,67,11.67,Employed,Not Improved
B1176,Female,38,Haridwar,Uttarakhand,Employment Readiness,2024-05-12,4,1220,Incomplete,40,51,27.5,Unemployed,Improved
B1177,Female,18,Roorkee,Uttarakhand,Employment Readiness,2024-04-10,8,1928,Completed,50,80,60.0,Employed,Improved
B1178,Female,30,Udham Singh Nagar,Uttarakhand,Skill Development,2024-01-22,8,1195,Completed,45,63,40.0,Unemployed,Improved
B1179,Male,24,Haridwar,Uttarakhand,Employment Readiness,2025-12-07,8,4058,Completed,68,74,8.82,Employed,Not Improved
B1180,Female,44,Dehradun,Uttarakhand,Digital Literacy,2025-11-27,4,2161,Completed,36,76,111.11,Employed,Improved
B1181,Female,26,Udham Singh Nagar,Uttarakhand,Digital Literacy,2024-11-30,6,2552,Incomplete,62,96,54.84,Employed,Improved
B1182,Female,25,Dehradun,Uttarakhand,Digital Literacy,2025-10-28,6,4707,Completed,59,74,25.42,Employed,Improved
B1183,Male,41,Udham Singh Nagar,Uttarakhand,Skill Development,2025-10-29,6,4732,Completed,57,69,21.05,Employed,Improved
B1184,Female,21,Dehradun,Uttarakhand,Digital Literacy,2024-09-28,8,3690,Incomplete,61,83,36.07,Unemployed,Improved
B1185,Female,39,Dehradun,Uttarakhand,Employment Readiness,2025-05-12,6,1789,Incomplete,48,56,16.67,Employed,Not Improved
B1186,Male,43,Udham Singh Nagar,Uttarakhand,Skill Development,2024-02-11,8,2784,Completed,30,37,23.33,Employed,Improved
B1187,Female,39,Dehradun,Uttarakhand,Employment Readiness,2024-11-24,6,3220,Completed,62,71,14.52,Unemployed,Not Improved
B1188,Female,22,Dehradun,Uttarakhand,Employment Readiness,2024-05-16,8,4363,Incomplete,64,86,34.38,Unemployed,Improved
B1189,Male,44,Roorkee,Uttarakhand,Employment Readiness,2024-04-02,4,4128,Completed,56,72,28.57,Unemployed,Improved
B1190,Female,19,Udham Singh Nagar,Uttarakhand,Digital Literacy,2025-11-11,8,1112,Incomplete,52,80,53.85,Employed,Improved
B1191,Male,43,Roorkee,Uttarakhand,Digital Literacy,2024-08-02,8,2324,Completed,36,62,72.22,Unemployed,Improved
B1192,Female,26,Nainital,Uttarakhand,Digital Literacy,2025-02-11,8,2049,Completed,20,52,160.0,Employed,Improved
B1193,Male,41,Dehradun,Uttarakhand,Skill Development,2024-12-01,4,4169,Incomplete,59,99,67.8,Employed,Improved
B1194,Male,28,Dehradun,Uttarakhand,Employment Readiness,2024-04-17,8,1590,Completed,37,44,18.92,Unemployed,Not Improved
B1195,Male,21,Haridwar,Uttarakhand,Skill Development,2025-01-07,6,3697,Completed,64,72,12.5,Unemployed,Not Improved
B1196,Female,34,Udham Singh Nagar,Uttarakhand,Employment Readiness,2024-07-11,4,3042,Completed,20,26,30.0,Unemployed,Improved
B1197,Female,40,Haridwar,Uttarakhand,Employment Readiness,2024-08-13,8,2045,Incomplete,38,76,100.0,Employed,Improved
B1198,Male,19,Nainital,Uttarakhand,Skill Development,2025-12-23,8,3834,Completed,59,99,67.8,Employed,Improved
B1199,Male,37,Dehradun,Uttarakhand,Digital Literacy,2025-06-03,8,2528,Completed,26,60,130.77,Unemployed,Improved
B1200,Male,19,Roorkee,Uttarakhand,Employment Readiness,2024-01-01,4,2498,Incomplete,70,92,31.43,Employed,Improved
B1201,Male,26,Udham Singh Nagar,Uttarakhand,Digital Literacy,2025-07-14,8,4509,Completed,27,63,133.33,Unemployed,Improved
B1202,Female,33,Udham Singh Nagar,Uttarakhand,Skill Development,2024-09-18,8,4110,Completed,26,38,46.15,Unemployed,Improved
B1203,Female,36,Udham Singh Nagar,Uttarakhand,Skill Development,2024-02-12,6,4520,Incomplete,51,69,35.29,Employed,Improved
B1204,Female,39,Nainital,Uttarakhand,Digital Literacy,2024-10-21,8,4562,Completed,25,36,44.0,Unemployed,Improved
B1205,Male,22,Udham Singh Nagar,Uttarakhand,Digital Literacy,2025-04-13,4,4563,Completed,29,65,124.14,Employed,Improved
B1206,Female,31,Roorkee,Uttarakhand,Employment Readiness,2024-03-04,4,3485,Completed,69,100,44.93,Unemployed,Improved
B1207,Male,28,Dehradun,Uttarakhand,Employment Readiness,2025-05-31,8,4012,Completed,35,66,88.57,Employed,Improved
B1208,Female,42,Nainital,Uttarakhand,Employment Readiness,2025-10-23,6,4216,Completed,35,72,105.71,Employed,Improved
B1209,Male,43,Nainital,Uttarakhand,Skill Development,2025-06-14,8,2177,Completed,49,54,10.2,Employed,Not Improved
B1210,Male,32,Dehradun,Uttarakhand,Digital Literacy,2025-03-02,8,3267,Completed,61,70,14.75,Unemployed,Not Improved
B1211,Female,24,Nainital,Uttarakhand,Skill Development,2024-02-18,8,2548,Completed,47,56,19.15,Unemployed,Not Improved
B1212,Male,23,Udham Singh Nagar,Uttarakhand,Digital Literacy,2024-08-13,4,2338,Completed,49,56,14.29,Unemployed,Not Improved
